state,statehouse_district_number,full_name,first,middle,surname,suffix,party_code,incumbent_status,withdrew_status,disqualified_status,notes,district_name,county_name,county,count,predicted_gender,gender_prob,party,pred.whi,pred.bla,pred.his,pred.asi,pred.oth,avg_white,avg_black,avg_his,avg_asi,avg_other,predicted_race,race_binary
NV,15,Melissa Lynn Spence,Melissa,Lynn,Spence,NA,100,0,0,0,NA,State House District 15,Clark,003,645010,female,1,1,0.9306513920746312,0.03140321214437057,0.008050393627509728,8.2762362779668e-4,0.029067378525691873,0.9306513920746312,0.03140321214437057,0.008050393627509728,8.2762362779668e-4,0.029067378525691873,White,White
NV,15,Howard Watts,Howard,NA,Watts,NA,200,1,0,0,NA,State House District 15,Clark,003,87023,male,1,2,0.40131391181969156,0.43956016910429657,0.016301763364100517,0.01367848099602077,0.1291456747158906,0.40131391181969156,0.43956016910429657,0.016301763364100517,0.01367848099602077,0.1291456747158906,Black,Non-White
NV,15,Jordy Prado,Jordy,NA,Prado,NA,300,0,0,0,Libertarian Party,State House District 15,Clark,003,28215,male,0.99,0,6.220302273630544e-4,1.7267091177339215e-4,0.998536681462961,0,6.686173979025218e-4,6.220302273630544e-4,1.7267091177339215e-4,0.998536681462961,0,6.686173979025218e-4,Hispanic,Non-White
NV,16,Eva Olivia Chase,Eva,Olivia,Chase,NA,200,0,0,0,NA,State House District 16,Clark,003,581103,female,0.99,2,0.5099919148159778,0.2346700714614023,0.07159016144182061,0.00600902071266652,0.17773883156813272,0.5099919148159778,0.2346700714614023,0.07159016144182061,0.00600902071266652,0.17773883156813272,White,White
NV,16,Cecelia González,Cecelia,NA,González,NA,200,1,0,0,NA,State House District 16,Clark,003,11356,female,1,2,0.20775580691681053,0.5048630387712519,0.11045854730660977,0.03727276640303297,0.13964984060229482,0.20775580691681053,0.5048630387712519,0.11045854730660977,0.03727276640303297,0.13964984060229482,Black,Non-White
NV,16,Benjamin M. Donlon,Benjamin,M.,Donlon,NA,100,0,0,0,NA,State House District 16,Clark,003,458549,male,1,1,0.9139544858939345,0.0029621529131246913,0.020878327222165694,0.02223402270110597,0.03997101126966916,0.9139544858939345,0.0029621529131246913,0.020878327222165694,0.02223402270110597,0.03997101126966916,White,White
NV,16,Socorro Keenan,Socorro,NA,Keenan,NA,100,0,0,0,NA,State House District 16,Clark,003,27687,female,0.97,1,0.026409371795228204,0.001351653032303527,0.7264646655370218,0.09472393590578679,0.15105037372965974,0.026409371795228204,0.001351653032303527,0.7264646655370218,0.09472393590578679,0.15105037372965974,Hispanic,Non-White
NV,16,James William Neville,James,William,Neville,NA,100,0,0,0,NA,State House District 16,Clark,003,1458986,male,1,1,0.96432553876984894,0.019585929381553624,6.126926628719124e-4,5.489137274497715e-4,0.014926925458275748,0.96432553876984894,0.019585929381553624,6.126926628719124e-4,5.489137274497715e-4,0.014926925458275748,White,White
NV,16,Jose Pena,Jose,NA,Pena,NA,300,0,0,0,Libertarian Party,State House District 16,Clark,003,2579676,male,0.99,0,3.035174835786113e-5,5.6973452395893214e-6,0.9989104709432667,4.279326309042527e-4,6.255473322315909e-4,3.035174835786113e-5,5.6973452395893214e-6,0.9989104709432667,4.279326309042527e-4,6.255473322315909e-4,Hispanic,Non-White
NV,17,Linda F. Hunt,Linda,F.,Hunt,NA,200,0,0,0,NA,State House District 17,Clark,003,951156,female,0.99,2,0.8185094574720765,0.0982791090672417,0.006366311873946159,0.002707267499279193,0.07413785408745656,0.8185094574720765,0.0982791090672417,0.006366311873946159,0.002707267499279193,0.07413785408745656,White,White
NV,17,Mishon D. Montgomery,Mishon,D.,Montgomery,NA,200,0,0,0,NA,State House District 17,Clark,003,70,male,0.8,2,0,0.9245061213156143,0,0,0.07549387868438567,0,0.9245061213156143,0,0,0.07549387868438567,Black,Non-White
NV,17,Chauntille Roberts,Chauntille,NA,Roberts,NA,200,0,0,0,NA,State House District 17,Clark,003,NA,NA,NA,2,0.0024206089342278213,0.025884753761179283,0.0032821207144221945,0.7065261368586905,0.2618863797314803,0.0024206089342278213,0.025884753761179283,0.0032821207144221945,0.7065261368586905,0.2618863797314803,Asian,Non-White
