state,statehouse_district_number,full_name,first_name,middle_name,last_name,suffix,party_code,incumbent_status,withdrew_status,disqualified_status,notes,district_name,county_name,county_fips,count,predicted_gender,gender_prob
MI,7,Abraham Aiyash,Abraham,NA,Aiyash,NA,200,1,1,0,NA,State House District 7,Wayne,163,135569,male,0.99
MI,7,Ernest T Little,Ernest,T,Little,NA,200,0,0,0,NA,State House District 7,Wayne,163,84170,male,0.99
MI,7,Tonya Myers Phillips,Tonya,Myers,Phillips,NA,200,0,0,0,NA,State House District 7,Wayne,163,60298,female,1
MI,7,Abraham D Shaw,Abraham,D,Shaw,NA,200,0,0,0,NA,State House District 7,Wayne,163,135569,male,0.99
MI,7,Barry L Altman,Barry,L,Altman,NA,100,0,0,0,NA,State House District 7,Wayne,163,180793,male,0.99
MI,7,Shelby Wininger,Shelby,NA,Wininger,NA,100,0,0,0,NA,State House District 7,Wayne,163,11836,female,0.91
MI,7,Linda Rayburn,Linda,NA,Rayburn,NA,300,0,0,0,Working Class Party,State House District 7,Wayne,163,951156,female,0.99
MI,8,LaTanya Garrett,LaTanya,NA,Garrett,NA,200,0,0,1,NA,State House District 8,Wayne,163,4554,female,1
MI,8,Chris Gilmer-Hill,Chris,NA,Gilmer-Hill,NA,200,0,0,0,NA,State House District 8,Wayne,163,558338,male,0.91
MI,8,Helena Scott,Helena,NA,Scott,NA,200,1,0,0,NA,State House District 8,Wayne,163,209954,female,0.99
MI,8,Alex Kuhn,Alex,NA,Kuhn,NA,100,0,0,0,NA,State House District 8,Wayne,163,1665200,male,0.95
MI,8,Logan Ausherman,Logan,NA,Ausherman,NA,300,0,0,0,Working Class Party,State House District 8,Wayne,163,29274,male,0.93
MI,9,Bobby Christian,Bobby,NA,Christian,NA,200,0,1,0,NA,State House District 9,Wayne,163,145014,male,0.98
MI,9,Ryan M Nelson,Ryan,M,Nelson,NA,200,0,0,0,NA,State House District 9,Wayne,163,645787,male,0.99
MI,9,Lory Renea Parks,Lory,Renea,Parks,NA,200,0,0,0,NA,State House District 9,Wayne,163,17416,female,0.87
MI,9,Joe Tate,Joe,NA,Tate,NA,200,1,0,0,NA,State House District 9,Wayne,163,724158,male,0.99
MI,9,Michele Lundgren,Michele,NA,Lundgren,NA,100,0,0,0,NA,State House District 9,Wayne,163,544350,female,0.54
MI,10,Justin Counts,Justin,NA,Counts,NA,200,0,0,0,NA,State House District 10,Wayne,163,440077,male,0.99
MI,10,Veronica Paiz,Veronica,NA,Paiz,NA,200,1,0,0,NA,State House District 10,Wayne,163,485708,female,1
MI,10,Washington Youson,Washington,NA,Youson,NA,200,0,0,1,NA,State House District 10,Wayne,163,28425,male,1
MI,10,Griffin Wojtowicz,Griffin,NA,Wojtowicz,NA,100,0,0,0,NA,State House District 10,Wayne,163,9246,male,0.99
MI,11,Donavan McKinney,Donavan,NA,McKinney,NA,200,1,0,0,NA,State House District 11,Macomb,099,3314,male,0.99
MI,11,Dale J Walker,Dale,J,Walker,NA,100,0,0,0,NA,State House District 11,Macomb,099,30591,male,0.93
MI,12,Kimberly Edwards,Kimberly,NA,Edwards,NA,200,1,0,0,NA,State House District 12,Macomb,099,311636,female,1
MI,12,Patrick S Biange,Patrick,S,Biange,NA,200,0,0,0,NA,State House District 12,Macomb,099,917582,male,1
MI,12,Angela E McIntosh,Angela,E,McIntosh,NA,200,0,0,0,NA,State House District 12,Macomb,099,925931,female,1
MI,12,Randell J Shafer,Randell,J,Shafer,NA,100,0,0,0,NA,State House District 12,Macomb,099,2683,male,0.99
MI,13,Patricia Johnson Singleton,Patricia,Johnson,Singleton,NA,200,0,0,0,NA,State House District 13,Macomb,099,1112576,female,1
MI,13,Richard M Steenland,Richard,M,Steenland,NA,200,0,0,0,NA,State House District 13,Macomb,099,1163098,male,1
MI,13,Mai Xiong,Mai,NA,Xiong,NA,200,1,0,0,NA,State House District 13,Macomb,099,112554,female,0.96
MI,13,Jerrie Bowl Billelo,Jerrie,Bowl,Billelo,NA,100,0,0,0,NA,State House District 13,Macomb,099,438,female,0.68
MI,13,Mark T Foster,Mark,T,Foster,NA,100,0,0,0,NA,State House District 13,Macomb,099,1378167,male,1
MI,13,John Sheets,John,NA,Sheets,NA,100,0,0,0,NA,State House District 13,Macomb,099,2692560,male,1
MI,13,Ronald Singer,Ronald,NA,Singer,NA,100,0,0,0,NA,State House District 13,Macomb,099,311164,male,1
MI,13,Hashim Malik Bakari,Hashim,Malik,Bakari,NA,300,0,0,0,Working Class Party,State House District 13,Macomb,099,26353,male,0.98
MI,14,James R Fouts,James,R,Fouts,NA,200,0,0,0,NA,State House District 14,Macomb,099,1458986,male,1
MI,14,Mike McFall,Mike,NA,McFall,NA,200,1,0,0,NA,State House District 14,Macomb,099,1145946,male,1
MI,14,Barbara Barber,Barbara,NA,Barber,NA,100,0,0,0,NA,State House District 14,Macomb,099,767724,female,1
MI,15,Erin Byrnes,Erin,NA,Byrnes,NA,200,1,0,0,NA,State House District 15,Wayne,163,216130,female,0.99
MI,15,Gary Edward Gardner,Gary,Edward,Gardner,NA,100,0,0,0,NA,State House District 15,Wayne,163,504588,male,1
MI,16,Stephanie A. Young,Stephanie,A.,Young,NA,200,1,0,0,NA,State House District 16,Wayne,163,685051,female,1
MI,16,Keith Windham,Keith,NA,Windham,NA,200,0,0,0,NA,State House District 16,Wayne,163,303116,male,1
MI,16,Brian Duggan,Brian,NA,Duggan,NA,100,0,0,0,NA,State House District 16,Wayne,163,860237,male,1
MI,16,Linda Green-Harris,Linda,NA,Green-Harris,NA,300,0,0,0,Working Class Party,State House District 16,Wayne,163,951156,female,0.99
MI,17,Laurie Pohutsky,Laurie,NA,Pohutsky,NA,200,1,0,0,NA,State House District 17,Wayne,163,143476,female,0.99
MI,17,Rola Makki,Rola,NA,Makki,NA,100,0,0,0,NA,State House District 17,Wayne,163,14920,female,0.95
MI,18,Jason Hoskins,Jason,NA,Hoskins,NA,200,1,0,0,NA,State House District 18,Oakland,125,786241,male,1
MI,18,Mordechai Klainberg,Mordechai,NA,Klainberg,NA,100,0,0,0,NA,State House District 18,Oakland,125,1500,male,1
MI,19,Samantha Steckloff,Samantha,NA,Steckloff,NA,200,1,0,0,NA,State House District 19,Oakland,125,416919,female,0.99
MI,19,Kevin J Hammer,Kevin,J,Hammer,NA,100,0,0,0,NA,State House District 19,Oakland,125,1257153,male,1
MI,20,Noah Arbit,Noah,NA,Arbit,NA,200,1,0,0,NA,State House District 20,Oakland,125,77852,male,0.97
MI,20,Hermon Barbe,Hermon,NA,Barbe,NA,100,0,0,0,NA,State House District 20,Oakland,125,1277,male,0.84
MI,20,Brendan Cowley,Brendan,NA,Cowley,NA,100,0,0,0,NA,State House District 20,Oakland,125,79874,male,1
MI,21,Kelly Breen,Kelly,NA,Breen,NA,200,1,0,0,NA,State House District 21,Oakland,125,194757,female,0.91
MI,21,Thomas Konesky,Thomas,NA,Konesky,NA,100,0,0,0,NA,State House District 21,Oakland,125,1246099,male,1
MI,21,James Young,James,NA,Young,NA,300,0,0,0,Libertarian Party,State House District 21,Oakland,125,1458986,male,1
MI,22,Matt Koleszar,Matt,NA,Koleszar,NA,200,1,0,0,NA,State House District 22,Wayne,163,484010,male,1
MI,22,Christian Charette,Christian,NA,Charette,NA,100,0,0,0,NA,State House District 22,Wayne,163,925951,male,0.99
MI,22,Adam A Stathakis,Adam,A,Stathakis,NA,100,0,0,0,NA,State House District 22,Wayne,163,832821,male,0.98
MI,23,Jason Morgan,Jason,NA,Morgan,NA,200,1,0,0,NA,State House District 23,Washtenaw,161,786241,male,1
MI,23,Miriam Corvino,Miriam,NA,Corvino,NA,100,0,0,0,NA,State House District 23,Washtenaw,161,325549,female,0.99
MI,23,David Stamp,David,NA,Stamp,NA,100,0,0,0,NA,State House District 23,Washtenaw,161,3489607,male,1
MI,23,Christian Marudas,Christian,NA,Marudas,NA,300,0,0,0,Green Party,State House District 23,Washtenaw,161,925951,male,0.99
MI,24,Ranjeev Puri,Ranjeev,NA,Puri,NA,200,1,0,0,NA,State House District 24,Wayne,163,159,male,0.99
MI,24,Leonard C Scott,Leonard,C,Scott,NA,100,0,0,0,NA,State House District 24,Wayne,163,84563,male,0.99
MI,25,Peter Herzberg,Peter,NA,Herzberg,NA,200,0,0,0,NA,State House District 25,Wayne,163,1346866,male,1
MI,25,Melandie Yvonee Hines,Melandie,Yvonee,Hines,NA,200,0,0,0,NA,State House District 25,Wayne,163,70,female,1
MI,25,Salif Kourouma,Salif,NA,Kourouma,NA,200,0,0,0,NA,State House District 25,Wayne,163,6208,male,0.98
MI,25,Lekisha M Maxwell,Lekisha,M,Maxwell,NA,200,0,0,0,NA,State House District 25,Wayne,163,438,female,0.99
MI,25,Layla Taha,Layla,NA,Taha,NA,200,0,0,0,NA,State House District 25,Wayne,163,57381,female,0.96
MI,25,Josh Powell,Josh,NA,Powell,NA,100,0,0,0,NA,State House District 25,Wayne,163,292629,male,1
MI,26,Dylan Wegela,Dylan,NA,Wegela,NA,200,1,0,0,NA,State House District 26,Wayne,163,188158,male,0.99
MI,26,DeArtriss Coleman-Richardson,DeArtriss,NA,Coleman-Richardson,NA,200,0,0,0,NA,State House District 26,Wayne,163,NA,NA,NA
MI,26,Jeff Gorman,Jeff,NA,Gorman,NA,100,0,0,0,NA,State House District 26,Wayne,163,556156,male,1
